L’Espagne s’égare,13 février 2019," | 			Guy Taillefer 
",Éditoriaux
"Biennale d’hiver, à l’accent britannique",13 février 2019," | 			Jérôme Delgado 
",Arts visuels
69e Berlinale: Catherine Deneuve à l’âge de la tolérance,13 février 2019," | 			Odile Tremblay 
",Cinéma
Le ministre de l'Éducation sonne le début de récréations plus longues,13 février 2019," | 			Marco Fortier 
",Éducation
"«On va examiner le cas» SNC-Lavalin, dit François Legault",13 février 2019," | 			Gérard Bérubé 
",Économie
Les Québécois ont moins fréquenté les salles de cinéma en 2018,13 février 2019," | 			La Presse canadienne 
",Cinéma
"Ford rappelle 1,5 million de camionnettes F-150",13 février 2019," | 			Agence France-Presse 
",Consommation
L’Espagne risque de retomber en campagne électorale,13 février 2019," | 			Alvaro Villalobos - Agence France-Presse	
",Europe
Une grève générale met la Belgique au ralenti,13 février 2019," | 			Matthieu Demeestere - Agence France-Presse	
",Europe
Le Grincheux du 13 février,13 février 2019," | 			Pascal  
",Société
Hausse «effrayante» des actes antisémites en Allemagne en 2018,13 février 2019," | 			Antoine Lambroschini - Agence France-Presse	
",Europe
L’Université McGill reçoit un don de 200 millions,13 février 2019," | 			La Presse canadienne 
",Éducation
Mission accomplie pour le robot explorateur martien Opportunity,13 février 2019," | 			Ivan Couronne - Agence France-Presse	
",Science
Tempête hivernale sur le Québec: ce qu’il faut savoir,13 février 2019," | 			Le Devoir avec La Presse canadienne 
",Société
"Twitter, outil de manipulation de l'opinion",13 février 2019," | 			Fabien Deglise 
",Société
"Les accords de réparation devront être bien expliqués, selon Transparency International Canada",13 février 2019," | 			François Desjardins 
",Économie
L’opposition échoue à faire comparaître neuf témoins devant le comité de la justice,13 février 2019," | 			Mélanie Marquis - La Presse canadienne	
",Canada
"Paul Manafort, l’ancien directeur de campagne de Trump, a menti au FBI",13 février 2019," | 			Agence France-Presse 
",États-Unis
Réseau de braconniers démantelé en Mauricie,13 février 2019," | 			Alexandre Shields 
",Environnement
L’Institut de santé publique suggère un accès graduel au cannabis pour les jeunes,14 février 2019," | 			Caroline Plante - La Presse canadienne	
",Société
Métro Média centralise ses bureaux,13 février 2019," | 			Philippe Papineau 
",Médias
