71,Mise aux normes au CCA,12 février 2019,Le Devoir,culture,/culture/547651/mise-aux-normes-au-cca
72,Notre choix ce soir,12 février 2019,Amélie Gaudreau,culture,/culture/ecrans/547621/choix-tele-du-12-fevrier
73,"Prendre part, faire monde",12 février 2019,Camille Louis,opinion,/opinion/idees/547634/prendre-part-faire-monde
74,Les états d’âme de QS,12 février 2019,Michel David,opinion,/opinion/chroniques/547624/les-etats-d-ame-de-qs
75,Washington «n’étouffe pas» l’affaire Khashoggi,12 février 2019,Agence France-Presse,monde,/monde/ameriques/547671/washington-n-etouffe-pas-l-affaire-khashoggi
76,Quoi surveiller aujourd'hui?,12 février 2019,Geneviève Tremblay,societe,/societe/547673/pour-votre-info-quoi-surveiller-aujourd-hui
77,"Devant les problèmes persistants de trains en Suisse, Bombardier s’excuse",12 février 2019,La Presse canadienne,economie,/economie/547641/trains-devant-les-problemes-persistants-en-suisse-bombardier-s-excuse
78,Des patrons américains demandent la régularisation de jeunes sans-papiers,12 février 2019,Agence France-Presse,economie,/economie/547645/immigration-des-patrons-americains-demandent-la-regularisation-de-jeunes-sans-papiers
79,Morgan Stanley achète Solium Capital,12 février 2019,La Presse canadienne,economie,/economie/547662/morgan-stanley-achete-solium-capital
80,Transport collectif: «un grand défi de société»,12 février 2019,Alexandre Shields,societe,/societe/environnement/547625/l-umq-plaide-pour-les-transports-collectifs
81,Des médecins réclament un meilleur contrôle des armes à feu,12 février 2019,La Presse canadienne,societe,/societe/sante/547652/des-medecins-s-unissent-pour-reclamer-un-meilleur-controle-des-armes-a-feu
82,Aide aux sinistrés de l’incendie de samedi matin à Longueuil,12 février 2019,La Presse canadienne,societe,/societe/547664/aide-aux-sinistres-de-l-incendie-de-samedi-matin-a-longueuil
83,La GRC démantèle un réseau international de blanchiment d’argent,12 février 2019,La Presse canadienne,societe,/societe/547666/la-grc-demantele-un-reseau-international-de-blanchiment-d-argent
84,Une amélioration chez Tim Hortons,12 février 2019,La Presse canadienne,economie,/economie/547642/une-amelioration-chez-tim-hortons
85,Violentes manifestations en Haïti,12 février 2019,Amélie Baron - Agence France-Presse,monde,/monde/ameriques/547672/violentes-manifestations-en-haiti
86,À la merci des Américains?,12 février 2019,Pierre Trudel,opinion,/opinion/chroniques/547636/a-la-merci-des-americains
87,Combiné nordique: Alexis Pinturault remporte le titre mondial,12 février 2019,Steve Douglas - Associated Press,sports,/sports/547629/combine-nordique-alexis-pinturault-remporte-le-titre-mondial
88,Une entente négociée est toujours possible pour SNC,12 février 2019,Le Devoir,economie,/economie/547665/une-entente-hors-cour-est-toujours-possible-pour-snc
89,Stages: les étudiants en sciences humaines de l’UQAM adoptent un mandat de grève,12 février 2019,La Presse canadienne,societe,/societe/education/547676/stages-les-etudiants-en-sciences-humaines-de-l-uqam-adoptent-un-mandat-de-greve
90,Les échanges É.-U.–Chine reprennent avant la «tempête»,12 février 2019,Patrick Baert - Agence France-Presse,economie,/economie/547644/commerce-les-echanges-e-u-chine-reprennent-avant-la-tempete
91,"«L’Itinéraire», voué au papier",12 février 2019,Philippe Papineau,culture,/culture/medias/547648/l-itineraire-voue-au-papier
92,Commotions: les adolescents qui s’entraînent semblent récupérer plus rapidement,12 février 2019,La Presse canadienne,sports,/sports/547630/de-l-espoir-pour-les-victimes-de-commotion-cerebrale
93,Jean-Samuel Blanc signe une entente de deux saisons avec les Alouettes,12 février 2019,La Presse canadienne,sports,/sports/547628/blanc-signe-une-entente-de-deux-saisons-avec-les-alouettes
94,"Michel Cadotte n’était pas dépressif, selon un psychiatre",12 février 2019,Améli Pineda,societe,/societe/547623/justice-cadotte-n-etait-pas-en-depression-selon-l-expert-de-la-defense
95,SNC-Lavalin réduit encore ses prévisions,12 février 2019,François Desjardins,economie,/economie/547620/snc-lavalin-reduit-encore-ses-previsions
96,Faux départ pour la commission sur le cannabis,12 février 2019,Caroline Plante - La Presse canadienne,societe,/societe/sante/547650/faux-depart-pour-la-commission-sur-le-cannabis
